title,category,secondary_category,type
kado uang dari tantte,hadiah,kado,pemasukan
kopi tubruk,minuman,jajanan,pengeluaran
makan di pizza,makanan,makanan,pengeluaran
tiket cinema xxi,hiburan,tontonan,pengeluaran
pelita air pulang kampung,transport,transport,pengeluaran
pelita air ke bali,transport,transport,pengeluaran
sewa lapnagan,hiburan,aktivitas,pengeluaran
dapet bonus dari agen,gaji,bonus,pemasukan
pakaian lazada,belanja,fashion,pengeluaran
tiket cinema,hiburan,tontonan,pengeluaran
naik maxim ke stasiun,transport,online,pengeluaran
tiket notnon,hiburan,tontonan,pengeluaran
belanja aksesoris hp,belanja,elektronik,pengeluaran
bayar stroom listrik tiap bulan,tagihan,utilitas,pengeluaran
dikasih uang tak terduga,hadiah,sumbangan,pemasukan
transfer koomisi penjualan ke bos,tagihan,tagihan,pengeluaran
bayar bus trans,transport,umum,pengeluaran
dikaasih uang,hadiah,hadiah,pemasukan
teh tark flash coffee,minuman,jajanan,pengeluaran
meanng givewaay,hadiah,hadiah,pemasukan
beli lontong sayur,makanan,makanan,pengeluaran
cinema rame-rame,hiburan,tontonan,pengeluaran
suubscribe langgaanan disney,hiburan,streaming,pengeluaran
dapet honor dari kantor,gaji,komisi,pemasukan
belanja idnomaret,belanja,belanja,pengeluaran
free fire,hiburan,game,pengeluaran
batagor di mall,makanan,jajanan,pengeluaran
byr langganan internet bulanan,tagihan,tagihan,pengeluaran
beli icncau,minuman,jajanan,pengeluaran
beli oat millk latte,minuman,jajanan,pengeluaran
transfer ke kantor insentif,tagihan,tagihan,pengeluaran
biaya rapid test,kesehatan,prosedur,pengeluaran
matcha pagi,minuman,jajanan,pengeluaran
cashback ovo dari keluarga,hadiah,reward,pemasukan
upah harain ke rekening,gaji,gaji,pemasukan
beli perlaatan dapur di alfamart,belanja,harian,pengeluaran
bayar tagihan internet bulan lalu,tagihan,tagihan,pengeluaran
kasih komisi ke bos,tagihan,gaji_pihak3,pengeluaran
bayar kartu kredit blan ini,tagihan,kredit,pengeluaran
perppanjang youtube premium,hiburan,hiburan,pengeluaran
ngopi air kelapa,minuman,minuman,pengeluaran
grabcar ke gym,transport,online,pengeluaran
tongseng di mall,makanan,makanan,pengeluaran
free fiire bulannan,hiburan,hiburan,pengeluaran
tet nonton film,hiburan,tontonan,pengeluaran
kirim bonus ke mitra,tagihan,gaji_pihak3,pengeluaran
makan pempek di maall,makanan,jajanan,pengeluaran
beli tas di blibli,belanja,fashion,pengeluaran
beli kamera di blibli,belanja,elektronik,pengeluaran
go car ke stasiun,transport,online,pengeluaran
bayar vidio,hiburan,streaming,pengeluaran
makan sop iga di rumah makan,makanan,makanan,pengeluaran
sriwijaya ke surabaya,transport,pesawat,pengeluaran
beli di goola,minuman,jajanan,pengeluaran
tieet konser sama teman,hiburan,tontonan,pengeluaran
kirim bayaran ke kantor,tagihan,tagihan,pengeluaran
tiket lion ke makassar,transport,pesawat,pengeluaran
transfer bayaran ke gojek,tagihan,tagihan,pengeluaran
netflix bayar,tagihan,tagihan,pengeluaran
tongseng siang tadi,makanan,makanan,pengeluaran
terima upah kerja,gaji,gaji,pemasukan
byr air,tagihan,tagihan,pengeluaran
earphone shopeee,belanja,elektronik,pengeluaran
beli makeup di mall,belanja,kecantikan,pengeluaran
dikasih uang dr keluarga,hadiah,sumbangan,pemasukan
burger di maall,makanan,makanan,pengeluaran
beli pekt internet,tagihan,tagihan,pengeluaran
shopeefood rendang,makanan,makanan,pengeluaran
insentif penjualan cair,gaji,bonus,pemasukan
ke cek lab,kesehatan,prosedur,pengeluaran
naik go car ke stasiun,transport,online,pengeluaran
beli masker medis di cetnury,kesehatan,obat,pengeluaran
beli di starbucks,minuman,jajanan,pengeluaran
bayar listrik bulan ini,tagihan,utilitas,pengeluaran
garuda ke jakarta,transport,pesawat,pengeluaran
dapet gaji ke rekening abnk,gaji,gaji,pemasukan
adpat uang saku lebaan,hadiah,sumbangan,pemasukan
ayam penyet bareng teeman,makanan,makanan,pengeluaran
dufan ke bndung,hiburan,liburan,pengeluaran
belanja kemea,belanja,belanja,pengeluaran
top up pubg bulanan,hiburan,game,pengeluaran
pesan makan sate kambing,makanan,makanan,pengeluaran
beli alat tulis di tokopedia,belanja,online_shop,pengeluaran
fee freelance dr bos,gaji,komisi,pemasukan
pesan minuman jus alpukat,minuman,jajanan,pengeluaran
alat tulis bukalapak,belanja,online_shop,pengeluaran
beli top up roblox,hiburan,game,pengeluaran
dapat bayaran dari gojek,gaji,gaji,pemasukan
capcay pagi tadi,makanan,makanan,pengeluaran
cashback ovo dari tmean,hadiah,reward,pemasukan
pesan mnman es kopi susu,minuman,jajanan,pengeluaran
dapat honor dari shopee,gaji,komisi,pemasukan
komisi,gaji,komisi,pemasukan
beli pakaian di alfamart,belanja,fashion,pengeluaran
beli makanan shawarma siang tadi,makanan,makanan,pengeluaran
subscribe prime video,hiburan,streaming,pengeluaran
biaya servis mobil,transport,transport,pengeluaran
kasih gaji tukang,tagihan,gaji_pihak3,pengeluaran
biaya bengkel,transport,pribadi,pengeluaran
beli bahan pokok,belanja,belanja,pengeluaran
jajan burger,makanan,makanan,pengeluaran
belanja supermarket,belanja,harian,pengeluaran
tongseng di kantor,makanan,makanan,pengeluaran
minum jus mangga,minuman,jajanan,pengeluaran
biaya gym,hiburan,aktivitas,pengeluaran
dapat gaji bulan ini,gaji,gaji,pemasukan
tripod tokopedia,belanja,elektronik,pengeluaran
beli century di kimia farma,kesehatan,apotek,pengeluaran
kopi janji jiwa,minuman,jajanan,pengeluaran
bayar grab bike,transport,online,pengeluaran
oat milk latte,minuman,jajanan,pengeluaran
bayar kontrakan,tagihan,sewa,pengeluaran
bayar bonus ke vendor,tagihan,tagihan,pengeluaran
diterima upah proyek,gaji,gaji,pemasukan
beli vitamin di century,kesehatan,obat,pengeluaran
periksa di tes darah,kesehatan,prosedur,pengeluaran
katering,makanan,makanan,pengeluaran
tiket lion ke suraabaya,transport,pesawat,pengeluaran
makan ayam goreng,makanan,makanan,pengeluaran
byr argo bromo,transport,umum,pengeluaran
sampo bkalapk,belanja,kecantikan,pengeluaran
beli aksesoris hp di laazada,belanja,elektronik,pengeluaran
staycation ke bandung,hiburan,hiburan,pengeluaran
iuran keamanan bulan laalu,tagihan,iuran,pengeluaran
angsuran motor bulan lalu,tagihan,kredit,pengeluaran
penghasilan bulanan bulan ini,gaji,gaji,pemasukan
dikasih duit dr teman,hadiah,sumbangan,pemasukan
pesan minuman susu,minuman,jajanan,pengeluaran
insentif dari klien,gaji,bonus,pemasukan
tikket museum ke bandung,hiburan,liburan,pengeluaran
lemon tea,minuman,jajanan,pengeluaran
insentif,gaji,bonus,pemasukan
nerima penghasilan,gaji,gaji,pemasukan
gaji ke 13 cair,gaji,gaji,pemasukan
bayar pesan gojek,transport,online,pengeluaran
dikaish duit dari teman,hadiah,sumbangan,pemasukan
beli di cfc,makanan,makanan,pengeluaran
uang magang dari bos,gaji,gaji,pemasukan
langganan sewa lapangan,hiburan,streaming,pengeluaran
biaya periksa dokter,kesehatan,konsul,pengeluaran
beli baju di alfamart,belanja,fashion,pengeluaran
bayar langgann disney,hiburan,streaming,pengeluaran
langganan internet tiap bulan,tagihan,tagihan,pengeluaran
subscribe disney+,hiburan,streaming,pengeluaran
sembako,belanja,belanja,pengeluaran
kasih upah buruh,tagihan,tagihan,pengeluaran
transfer komisi tomoro coffee,tagihan,gaji_pihak3,pengeluaran
token listrik,tagihan,utilitas,pengeluaran
nonton tiket festiavl,hiburan,tontonan,pengeluaran
martabak telur di kantor,makanan,jajanan,pengeluaran
ngasih gaji art bulanan,tagihan,gaji_pihak3,pengeluaran
kirim bayaran tomoro,tagihan,tagihan,pengeluaran
milk tea buat kerja,minuman,jajanan,pengeluaran
beli bjau di shopee,belanja,online_shop,pengeluaran
beli buku di tokopedia,belanja,online_shop,pengeluaran
angpao lebaran,hadiah,kado,pemasukan
rewarrd aplkiasi,hadiah,reward,pemasukan
bakso di kantin,makanan,makanan,pengeluaran
hotel ke bandung,hiburan,liburan,pengeluaran
masuk bayaran dari shopee,gaji,gaji,pemasukan
beli top up steam,hiburan,game,pengeluaran
beli elektronik baru,belanja,elektronik,pengeluaran
rejeki tak terduga,hadiah,hadiah,pemasukan
maxim motor ke gym,transport,online,pengeluaran
beli uc bulanan,hiburan,game,pengeluaran
paket indosat,tagihan,internet_pulsa,pengeluaran
cshback gopay dari saudara,hadiah,hadiah,pemasukan
naik indriver ke kampus,transport,online,pengeluaran
poin reward dari teman,hadiah,reward,pemasukan
gajian honor narasumber,tagihan,gaji_pihak3,pengeluaran
dapet fee grab,gaji,komisi,pemasukan
belanja ranch market,belanja,belanja,pengeluaran
doorprize ulang athun,hadiah,undian,pemasukan
kado uag,hadiah,kado,pemasukan
apket smartfren,tagihan,internet_pulsa,pengeluaran
honor kerja sudah cair,gaji,komisi,pemasukan
bayar fee ke perusahaan,tagihan,gaji_pihak3,pengeluaran
menang undian lebaran,hadiah,undian,pemasukan
myrepublic,tagihan,internet_pulsa,pengeluaran
beli mnman espresso,minuman,jajanan,pengeluaran
naik maxim motor ke kampus,transport,online,pengeluaran
trip sama keluarga,hiburan,liburan,pengeluaran
beli buku di lazada,belanja,online_shop,pengeluaran
jus alpukat di kantor,minuman,jajanan,pengeluaran
beli deterjen di indomaret,belanja,harian,pengeluaran
order ayam geprek,makanan,makanan,pengeluaran
pesan mie goreng,makanan,makanan,pengeluaran
kopi hitam di kafe,minuman,jajanan,pengeluaran
dapat honor tomoro coffee,gaji,komisi,pemasukan
hadih doorprrize kearin,hadiah,hadiah,pemasukan
dapaat kado dari tman,hadiah,kado,pemasukan
pesan taro milk tea,minuman,jajanan,pengeluaran
kirim ke honor pembicara mingguaan,tagihan,tagihan,pengeluaran
air kelapa less sugar,minuman,minuman,pengeluaran
jajan ketupat di restoran,makanan,makanan,pengeluaran
beli obat tiap bulan,kesehatan,obat,pengeluaran
bayar biznet bulan ini,tagihan,internet_pulsa,pengeluaran
kosmetik tokopedia,belanja,kecantikan,pengeluaran
belanja di indomaret,belanja,harian,pengeluaran
dapaat kado drai teman,hadiah,kado,pemasukan
uang kos bulanan,tagihan,sewa,pengeluaran
sudah terima gaji diterima,gaji,gaji,pemasukan
teh botol di warkop,minuman,jajanan,pengeluaran
beli kapal api,minuman,jajanan,pengeluaran
masuk fee tokopedia,gaji,komisi,pemasukan
tunjangan transport cair,gaji,bonus,pemasukan
beli kamera di shopee,belanja,elektronik,pengeluaran
nonton rame-rame,hiburan,tontonan,pengeluaran
taman wisata sama keluarga,hiburan,liburan,pengeluaran
dapet komisi,gaji,komisi,pemasukan
bayar asuransi jiwa bullanan,tagihan,asuransi,pengeluaran
kirim ke upah pekreja,tagihan,tagihan,pengeluaran
susu segar pagi,minuman,minuman,pengeluaran
bayar bizet tiap bulan,tagihan,tagihan,pengeluaran
dapat trransferan drai temman,hadiah,hadiah,pemasukan
terma hadiah lebaan,hadiah,hadiah,pemasukan
byr komisi makelar,tagihan,gaji_pihak3,pengeluaran
kentang goreng di food court,makanan,makanan,pengeluaran
beli minuman yakult,minuman,minuman,pengeluaran
beli topi baru,belanja,fashion,pengeluaran
makan di dominos,makanan,makanan,pengeluaran
bbm motor,transport,transport,pengeluaran
bayar upah karyawan cash,tagihan,gaji_pihak3,pengeluaran
ngopi di esteh indonesia,minuman,jajanan,pengeluaran
nonton bola abreng keluarga,hiburan,tontonan,pengeluaran
mie level,makanan,makanan,pengeluaran
gajian dari kantor,gaji,gaji,pemasukan
dapat komisi dr tokopedia,gaji,komisi,pemasukan
jawdal pcr,kesehatan,kesehatan,pengeluaran
transfer honor starbucks,tagihan,tagihan,pengeluaran
nasi campur di kantor,makanan,makanan,pengeluaran
gojek ke terminal,transport,online,pengeluaran
dapat uang saku lebaran,hadiah,sumbangan,pemasukan
ngopi di kulo,minuman,jajanan,pengeluaran
beli vitamin d online,kesehatan,obat,pengeluaran
tongseng bareng teman,makanan,makanan,pengeluaran
gaji bulan ini cair,gaji,gaji,pemasukan
naik bus trans ke bengkel,transport,umum,pengeluaran
naik transjakarta ke bandara,transport,umum,pengeluaran
rjeki dari keluarga,hadiah,sumbangan,pemasukan
minum cold brew,minuman,jajanan,pengeluaran
isi pertalite mobbil,transport,pribadi,pengeluaran
sate ayam di mall,makanan,makanan,pengeluaran
beli baju baru,belanja,fashion,pengeluaran
deterjen tokopedia,belanja,online_shop,pengeluaran
beli minuman frappuccino,minuman,jajanan,pengeluaran
makan di mie gacoan,makanan,makanan,pengeluaran
cashback gopay dari saudara,hadiah,reward,pemasukan
beli kratingdaeng,minuman,jajanan,pengeluaran
mkn ramen,makanan,makanan,pengeluaran
langganan netfix,hiburan,streaming,pengeluaran
beli skincare di bukalapak,belanja,kecantikan,pengeluaran
terima bonus kantor,gaji,bonus,pemasukan
gaji bulan ini,gaji,gaji,pemasukan
jajan makan siang,makanan,makanan,pengeluaran
nescafe,minuman,jajanan,pengeluaran
headset bukalapak,belanja,elektronik,pengeluaran
menerima fee freelance,gaji,komisi,pemasukan
festival rame-rame,hiburan,liburan,pengeluaran
beelanja peralatan rumah,belanja,harian,pengeluaran
kirim bayaran ke shopee,tagihan,tagihan,pengeluaran
gaji diterima bulan ini,gaji,gaji,pemasukan
trima kado dari ortu,hadiah,kado,pemasukan
belanja mingguan di apsar,belanja,belanja,pengeluaran
beli paket data xl,tagihan,internet_pulsa,pengeluaran
cicilan mobil bulan lalu,tagihan,kredit,pengeluaran
nonnton bioskop weekend,hiburan,tontonan,pengeluaran
mouse blibli,belanja,elektronik,pengeluaran
naik kereta cepat ke kampus,transport,umum,pengeluaran
naik grab tadi,transport,online,pengeluaran
gaji freelance via transfer,gaji,gaji,pemasukan
beli teh botol,minuman,jajanan,pengeluaran
beri bonus tim,tagihan,gaji_pihak3,pengeluaran
masuk komisi penjualan dari vendor,gaji,komisi,pemasukan
transfer komisi agen tunai,tagihan,gaji_pihak3,pengeluaran
jaajn nasi campur di restoran,makanan,makanan,pengeluaran
beli buaah,belanja,belanja,pengeluaran
biaya bowing,hiburan,hiburan,pengeluaran
beli tas di tokopedia,belanja,fashion,pengeluaran
perpanang prime video,hiburan,streaming,pengeluaran
dapat komisi proyek dari vendor,gaji,komisi,pemasukan
doorprize tak terduga,hadiah,undian,pemasukan
beli sate ayam,makanan,makanan,pengeluaran
cashbback shopee daari saudara,hadiah,reward,pemasukan
beli suplemen tiap bulan,kesehatan,obat,pengeluaran
lontong sayur pagi tadi,makanan,makanan,pengeluaran
tiket fetsival sama pacar,hiburan,tontonan,pengeluaran
es cendol panas,minuman,jajanan,pengeluaran
bayar tv kabel bulan ini,tagihan,tagihan,pengeluaran
ngopi teh manis,minuman,jajanan,pengeluaran
angkot,transport,umum,pengeluaran
masuk gaji ettap,gaji,gaji,pemasukan
beeli apotek,kesehatan,apotek,pengeluaran
gaji ke rekening bulan ini,gaji,gaji,pemasukan
grab motor ke rumah sakit,transport,online,pengeluaran
blanja pealatan rumah,belanja,belanja,pengeluaran
paket data three,tagihan,internet_pulsa,pengeluaran
warsian tak terduga,hadiah,hadiah,pemasukan
bbm mobil,transport,transport,pengeluaran
siomay malam ini,makanan,jajanan,pengeluaran
gaji mingguan bulan ini,gaji,gaji,pemasukan
bleanja celana,belanja,fashion,pengeluaran
transfer ke kantor bons,tagihan,tagihan,pengeluaran
tip pelanggan keamrin,hadiah,reward,pemasukan
periksa di puskesmas,kesehatan,konsul,pengeluaran
dapat uaang saku lebaran,hadiah,hadiah,pemasukan
lrt pulang,transport,umum,pengeluaran
bei kapas,kesehatan,kesehatan,pengeluaran
bakso urat pagi tadi,makanan,makanan,pengeluaran
teh koak,minuman,jajanan,pengeluaran
gaji masuk,gaji,gaji,pemasukan
agji pokok bulan ini,gaji,gaji,pemasukan
beli moouse,belanja,belanja,pengeluaran
ke biaya operasi,kesehatan,prosedur,pengeluaran
bayar kontrakan bulan ini,tagihan,sewa,pengeluaran
bayar komisi proyek mitra,tagihan,gaji_pihak3,pengeluaran
tiket karaoke,hiburan,tontonan,pengeluaran
makan malam,makanan,makanan,pengeluaran
argo bromo ke gym,transport,umum,pengeluaran
top up token,hiburan,game,pengeluaran
fee proyek,gaji,komisi,pemasukan
beli makanan sate ayam,makanan,makanan,pengeluaran
thr,gaji,bonus,pemasukan
beli minuman es campur,minuman,jajanan,pengeluaran
batik air pulang kampung,transport,transport,pengeluaran
festival,hiburan,liburan,pengeluaran
beli paket data telkomsel,tagihan,internet_pulsa,pengeluaran
hadiah pon dari tante,hadiah,hadiah,pemasukan
masuk gaji,gaji,gaji,pemasukan
subscribe viu,hiburan,streaming,pengeluaran
dapat bayaran dari perusahaan,gaji,gaji,pemasukan
beli sampo di mall,belanja,kecantikan,pengeluaran
beli kaos di blibli,belanja,fashion,pengeluaran
beli deterjen baru,belanja,harian,pengeluaran
komisi penjualan,gaji,komisi,pemasukan
wifi,tagihan,internet_pulsa,pengeluaran
bayar kos bulanan bulan lalu,tagihan,sewa,pengeluaran
penghasilan bulan ini,gaji,gaji,pemasukan
bayar ke grab bayaran,tagihan,tagihan,pengeluaran
beli teh kotak,minuman,jajanan,pengeluaran
pesan ikan bakar,makanan,makanan,pengeluaran
teh tarik di cafe,minuman,jajanan,pengeluaran
ebli masker di guardian,kesehatan,apotek,pengeluaran
bayyar biznet bulan ini,tagihan,internet_pulsa,pengeluaran
kontrak rumah bulan lalu,tagihan,tagihan,pengeluaran
perpanjang langganan netflix,hiburan,streaming,pengeluaran
deterjen,belanja,harian,pengeluaran
citilink ke makasasr,transport,pesawat,pengeluaran
listrik bulanan,tagihan,utilitas,pengeluaran
hdiah menang,hadiah,undian,pemasukan
bayar kos bulanan tiap bulan,tagihan,sewa,pengeluaran
ngasih gaji staff via transfer,tagihan,gaji_pihak3,pengeluaran
teh hijau,minuman,jajanan,pengeluaran
masuk komisi,gaji,komisi,pemasukan
biaya servis motor,transport,transport,pengeluaran
bayar ke starbuucks honor,tagihan,tagihan,pengeluaran
naik bus trans pulang,transport,umum,pengeluaran
beli telur di supermarkeet,belanja,belanja,pengeluaran
isi paket data,tagihan,internet_pulsa,pengeluaran
beli beras di pasar,belanja,harian,pengeluaran
transfer ke fee freelancer,tagihan,gaji_pihak3,pengeluaran
shopee,belanja,online_shop,pengeluaran
beli obat flu,kesehatan,obat,pengeluaran
beli puubg mobile,hiburan,hiburan,pengeluaran
beli apotik,kesehatan,apotek,pengeluaran
bayar insentif ke klien,tagihan,gaji_pihak3,pengeluaran
pesan latte,minuman,jajanan,pengeluaran
hadiah undain lbearan,hadiah,undian,pemasukan
belanja minggaun di pasar,belanja,harian,pengeluaran
menerima gaji ke rekening,gaji,gaji,pemasukan
bayar whoosh,transport,umum,pengeluaran
gaji diterima dari perusahaan,gaji,gaji,pemasukan
beli makanan ayam penyet,makanan,makanan,pengeluaran
tol,transport,transport,pengeluaran
sewa kamar,tagihan,tagihan,pengeluaran
token pln bulan lalu,tagihan,utilitas,pengeluaran
traktiran balik tadi,hadiah,reward,pemasukan
minum es kpi susu,minuman,jajanan,pengeluaran
biya badminton,hiburan,hiburan,pengeluaran
kasih bayaran gojek,tagihan,tagihan,pengeluaran
beli minuman jus mangga,minuman,jajanan,pengeluaran
thr lebaran,hadiah,hadiah,pemasukan
belanja indomaret,belanja,harian,pengeluaran
minum baandrek,minuman,jajanan,pengeluaran
beli ibuprofen di kimia farma,kesehatan,apotek,pengeluaran
konsultasi dental,kesehatan,konsul,pengeluaran
bayar premi asuransi bulanan,tagihan,asuransi,pengeluaran
martabak maanis bareng keluarga,makanan,jajanan,pengeluaran
rejeki lebaran,hadiah,hadiah,pemasukan
keyboard bukalapak,belanja,elektronik,pengeluaran
ngisi bensin motor,transport,pribadi,pengeluaran
bayar fee ke bos,tagihan,gaji_pihak3,pengeluaran
bensin,transport,pribadi,pengeluaran
jus jeruk,minuman,jajanan,pengeluaran
diterima tunjjangan transport,gaji,gaji,pemasukan
pesan kopi hitam,minuman,jajanan,pengeluaran
pecel ayam di warteg,makanan,makanan,pengeluaran
teh manis di kantor,minuman,jajanan,pengeluaran
pesan minuman teh hijau,minuman,jajanan,pengeluaran
teerima hadiah lebaaran,hadiah,hadiah,pemasukan
trannsfer fee ke atasan,tagihan,gaji_pihak3,pengeluaran
salary ciar,gaji,gaji,pemasukan
hadiah lomba dari teman,hadiah,undian,pemasukan
buku,belanja,harian,pengeluaran
pesan minuman jus buah,minuman,jajanan,pengeluaran
bayar bpjjs ketenagakerjaan,tagihan,tagihan,pengeluaran
bayar biaya dokter,kesehatan,konsul,pengeluaran
ngasih fee vendor mingguan,tagihan,gaji_pihak3,pengeluaran
dikirii uang lebaran,hadiah,hadiah,pemasukan
hadiah menang,hadiah,undian,pemasukan
paaket data axis,tagihan,internet_pulsa,pengeluaran
nonton karaaoke,hiburan,tontonan,pengeluaran
beli nonton,hiburan,tontonan,pengeluaran
terima komisi proyek klien,gaji,komisi,pemasukan
sarapan bareng keluarga,makanan,makanan,pengeluaran
kontrakan,tagihan,sewa,pengeluaran
tip pelanggan ulang tahun,hadiah,reward,pemasukan
perlatan rumah,belanja,belanja,pengeluaran
gocar tadi,transport,online,pengeluaran
beli charger baru,belanja,elektronik,pengeluaran
sarapan di warteg,makanan,makanan,pengeluaran
traveloka hotel ke baali,hiburan,liburan,pengeluaran
pesan makan sate padang,makanan,makanan,pengeluaran
bayar fee ke kantor,tagihan,gaji_pihak3,pengeluaran
tiket bus ke sekolah,transport,umum,pengeluaran
makan siang di food court,makanan,makanan,pengeluaran
pesan bihun goreng,makanan,makanan,pengeluaran
kentang goreng malam ini,makanan,makanan,pengeluaran
bayar medical check up,kesehatan,prosedur,pengeluaran
cek darah,kesehatan,prosedur,pengeluaran
beli makanan capcay di food court,makanan,makanan,pengeluaran
gaji mingguan dari bos,gaji,gaji,pemasukan
genshn impact,hiburan,hiburan,pengeluaran
martabak,makanan,jajanan,pengeluaran
bayar kontrak rumah,tagihan,tagihan,pengeluaran
kosmetik blibli,belanja,kecantikan,pengeluaran
kasih komisi shopee,tagihan,gaji_pihak3,pengeluaran
pesan mie gacoan,makanan,makanan,pengeluaran
cinemma xxi sama teman,hiburan,tontonan,pengeluaran
konsultasi biaya dokkter,kesehatan,konsul,pengeluaran
mosue bukalapak,belanja,online_shop,pengeluaran
poin reawwrd,hadiah,reward,pemasukan
dapat insentif grab,gaji,bonus,pemasukan
rawat inap,kesehatan,prosedur,pengeluaran
bajigur,minuman,jajanan,pengeluaran
thr bulan ini,gaji,bonus,pemasukan
beli suplemen,kesehatan,obat,pengeluaran
beli peralatan rumah,belanja,harian,pengeluaran
bayar kpr bulan lalu,tagihan,tagihan,pengeluaran
naik bus ke bengkel,transport,umum,pengeluaran
bayar kartu kredit,tagihan,kredit,pengeluaran
dapat transferan dari otru,hadiah,hadiah,pemasukan
dpat kado dari teman,hadiah,kado,pemasukan
komisi buln lalu,gaji,komisi,pemasukan
garuda ke bali,transport,pesawat,pengeluaran
terima hadiah ulang tahn,hadiah,kado,pemasukan
rapid etst,kesehatan,kesehatan,pengeluaran
gaji dari bos,gaji,gaji,pemasukan
mie goreng bareng keluarga,makanan,makanan,pengeluaran
sudah terima honor kerja,gaji,komisi,pemasukan
konsultasi konsul doktter,kesehatan,konsul,pengeluaran
gojek pagi,transport,online,pengeluaran
konsul dokter,kesehatan,konsul,pengeluaran
pecel lle di food court,makanan,makanan,pengeluaran
jajan seafood,makanan,makanan,pengeluaran
pesan smotohie,minuman,jajanan,pengeluaran
bei roblox,hiburan,hiburan,pengeluaran
bayar asuransi kesehatan bulan lalu,tagihan,asuransi,pengeluaran
beli minuman bandrek,minuman,jajanan,pengeluaran
belanja di rnach market,belanja,belanja,pengeluaran
beli minuman latte,minuman,jajanan,pengeluaran
belanja peralatan dapur,belanja,harian,pengeluaran
tiket festival sama pacar,hiburan,liburan,pengeluaran
terima komisi penjualan dari atasan,gaji,komisi,pemasukan
pesan grab pagi,transport,online,pengeluaran
biaya renang,hiburan,aktivitas,pengeluaran
nasi campur,makanan,makanan,pengeluaran
bayar bpjs,tagihan,asuransi,pengeluaran
naik grab bike pulang,transport,online,pengeluaran
dpat gaji kantor,gaji,gaji,pemasukan
pemaskan gaji via transsfer,gaji,gaji,pemasukan
paket data xl,tagihan,internet_pulsa,pengeluaran
bakmi bareng teman,makanan,makanan,pengeluaran
terima hadiah keamrin,hadiah,hadiah,pemasukan
langganan vidio bulnan,hiburan,streaming,pengeluaran
ibuprofen,kesehatan,obat,pengeluaran
angpao dari ortu,hadiah,kado,pemasukan
roblox bulanan,hiburan,hiburan,pengeluaran
panjat tebing,hiburan,aktivitas,pengeluaran
grab bike ke rumah sakit,transport,online,pengeluaran
beli jus jeruk,minuman,jajanan,pengeluaran
token listrrik bulanan,tagihan,utilitas,pengeluaran
beli vitamin rutin,kesehatan,obat,pengeluaran
biaya rumah sakit,kesehatan,konsul,pengeluaran
bayar maxim car,transport,online,pengeluaran
tiet nonton film,hiburan,tontonan,pengeluaran
blue bird tiap hari,transport,umum,pengeluaran
bonus kinerja bulan ini,gaji,bonus,pemasukan
transfer bayaran ke atasan,tagihan,tagihan,pengeluaran
dapat uang saku dari tante,hadiah,sumbangan,pemasukan
bayaran via transfer,gaji,gaji,pemasukan
tikket knser,hiburan,hiburan,pengeluaran
rewrd aplikasi dari teman,hadiah,reward,pemasukan
indihome,tagihan,internet_pulsa,pengeluaran
dapat lembur,gaji,komisi,pemasukan
beli pakaian di lazada,belanja,fashion,pengeluaran
masuk fee dari kantor,gaji,komisi,pemasukan
jajan ketupat,makanan,makanan,pengeluaran
uah harian cair,gaji,gaji,pemasukan
beli omega 3 di apotek,kesehatan,apotek,pengeluaran
terima honor dari gojek,gaji,komisi,pemasukan
langganan viu,hiburan,streaming,pengeluaran
terima akdo dari keluarga,hadiah,kado,pemasukan
roti canai,makanan,jajanan,pengeluaran
angkot ke rumah sakit,transport,umum,pengeluaran
periksa di biaya operasi,kesehatan,prosedur,pengeluaran
headset tokopdeia,belanja,elektronik,pengeluaran
beli earphone,belanja,elektronik,pengeluaran
beli celana di lazada,belanja,fashion,pengeluaran
bayar uang kos bulan ini,tagihan,sewa,pengeluaran
airasia,transport,pesawat,pengeluaran
dapet honorarium,gaji,komisi,pemasukan
honor bulan lalu,gaji,komisi,pemasukan
pesan nasi ayam,makanan,makanan,pengeluaran
puskesmas,kesehatan,konsul,pengeluaran
bengkel,transport,pribadi,pengeluaran
bayar myrepublic bulan lalu,tagihan,internet_pulsa,pengeluaran
langganan iqii,hiburan,streaming,pengeluaran
bayar ke bos honor,tagihan,gaji_pihak3,pengeluaran
upah kerja,gaji,gaji,pemasukan
belli tongseng,makanan,makanan,pengeluaran
jus jeruk di kantor,minuman,jajanan,pengeluaran
booking hotel,hiburan,liburan,pengeluaran
tunjangan jabatan ke rekening,gaji,bonus,pemasukan
bajaj pulang,transport,transport,pengeluaran
beli aksesoris hp di ammll,belanja,elektronik,pengeluaran
belanja hp,belanja,elektronik,pengeluaran
periksa ke konsul dokter,kesehatan,konsul,pengeluaran
tiket lion air,transport,pesawat,pengeluaran
tip pelanggan,hadiah,reward,pemasukan
fried chicken di kantor,makanan,makanan,pengeluaran
insentif penjualan bulan ini,gaji,bonus,pemasukan
gaji kaaryawan,gaji,gaji,pemasukan
beli viamin d di apotek,kesehatan,apotek,pengeluaran
dapet hoonor kerja,gaji,gaji,pemasukan
roti canai bareng teman,makanan,jajanan,pengeluaran
kereta api ke kampus,transport,umum,pengeluaran
byr komisi atasan,tagihan,gaji_pihak3,pengeluaran
kirim ke gji pembantu,tagihan,tagihan,pengeluaran
beli saayur,belanja,belanja,pengeluaran
martabak manis di food court,makanan,jajanan,pengeluaran
