title,category,type
pesan makan sate kambing,makanan,pengeluaran
beli alat tulis di tokopedia,belanja,pengeluaran
fee freelance dr bos,gaji,pemasukan
pesan minuman jus alpukat,minuman,pengeluaran
alat tulis bukalapak,belanja,pengeluaran
beli top up roblox,hiburan,pengeluaran
dapat bayaran dari gojek,gaji,pemasukan
capcay pagi tadi,makanan,pengeluaran
cashback ovo dari tmean,hadiah,pemasukan
pesan mnman es kopi susu,minuman,pengeluaran
dapat honor dari shopee,gaji,pemasukan
komisi,gaji,pemasukan
beli pakaian di alfamart,belanja,pengeluaran
beli makanan shawarma siang tadi,makanan,pengeluaran
subscribe prime video,hiburan,pengeluaran
biaya servis mobil,transport,pengeluaran
kasih gaji tukang,tagihan,pengeluaran
biaya bengkel,transport,pengeluaran
beli bahan pokok,belanja,pengeluaran
jajan burger,makanan,pengeluaran
belanja supermarket,belanja,pengeluaran
tongseng di kantor,makanan,pengeluaran
minum jus mangga,minuman,pengeluaran
biaya gym,hiburan,pengeluaran
dapat gaji bulan ini,gaji,pemasukan
tripod tokopedia,belanja,pengeluaran
beli century di kimia farma,kesehatan,pengeluaran
kopi janji jiwa,minuman,pengeluaran
bayar grab bike,transport,pengeluaran
oat milk latte,minuman,pengeluaran
bayar kontrakan,tagihan,pengeluaran
bayar bonus ke vendor,tagihan,pengeluaran
diterima upah proyek,gaji,pemasukan
beli vitamin di century,kesehatan,pengeluaran
periksa di tes darah,kesehatan,pengeluaran
katering,makanan,pengeluaran
tiket lion ke suraabaya,transport,pengeluaran
makan ayam goreng,makanan,pengeluaran
byr argo bromo,transport,pengeluaran
sampo bkalapk,belanja,pengeluaran
beli aksesoris hp di laazada,belanja,pengeluaran
staycation ke bandung,hiburan,pengeluaran
iuran keamanan bulan laalu,tagihan,pengeluaran
angsuran motor bulan lalu,tagihan,pengeluaran
penghasilan bulanan bulan ini,gaji,pemasukan
dikasih duit dr teman,hadiah,pemasukan
pesan minuman susu,minuman,pengeluaran
insentif dari klien,gaji,pemasukan
tikket museum ke bandung,hiburan,pengeluaran
lemon tea,minuman,pengeluaran
insentif,gaji,pemasukan
nerima penghasilan,gaji,pemasukan
gaji ke 13 cair,gaji,pemasukan
bayar pesan gojek,transport,pengeluaran
dikaish duit dari teman,hadiah,pemasukan
beli di cfc,makanan,pengeluaran
uang magang dari bos,gaji,pemasukan
langganan sewa lapangan,hiburan,pengeluaran
biaya periksa dokter,kesehatan,pengeluaran
beli baju di alfamart,belanja,pengeluaran
bayar langgann disney,hiburan,pengeluaran
langganan internet tiap bulan,tagihan,pengeluaran
subscribe disney+,hiburan,pengeluaran
sembako,belanja,pengeluaran
kasih upah buruh,tagihan,pengeluaran
transfer komisi tomoro coffee,tagihan,pengeluaran
token listrik,tagihan,pengeluaran
nonton tiket festiavl,hiburan,pengeluaran
martabak telur di kantor,makanan,pengeluaran
ngasih gaji art bulanan,tagihan,pengeluaran
kirim bayaran tomoro,tagihan,pengeluaran
milk tea buat kerja,minuman,pengeluaran
beli bjau di shopee,belanja,pengeluaran
beli buku di tokopedia,belanja,pengeluaran
angpao lebaran,hadiah,pemasukan
rewarrd aplkiasi,hadiah,pemasukan
bakso di kantin,makanan,pengeluaran
hotel ke bandung,hiburan,pengeluaran
masuk bayaran dari shopee,gaji,pemasukan
beli top up steam,hiburan,pengeluaran
beli elektronik baru,belanja,pengeluaran
rejeki tak terduga,hadiah,pemasukan
maxim motor ke gym,transport,pengeluaran
beli uc bulanan,hiburan,pengeluaran
paket indosat,tagihan,pengeluaran
cshback gopay dari saudara,hadiah,pemasukan
naik indriver ke kampus,transport,pengeluaran
poin reward dari teman,hadiah,pemasukan
gajian honor narasumber,tagihan,pengeluaran
dapet fee grab,gaji,pemasukan
belanja ranch market,belanja,pengeluaran
doorprize ulang athun,hadiah,pemasukan
kado uag,hadiah,pemasukan
apket smartfren,tagihan,pengeluaran
honor kerja sudah cair,gaji,pemasukan
bayar fee ke perusahaan,tagihan,pengeluaran
menang undian lebaran,hadiah,pemasukan
myrepublic,tagihan,pengeluaran
beli mnman espresso,minuman,pengeluaran
naik maxim motor ke kampus,transport,pengeluaran
trip sama keluarga,hiburan,pengeluaran
beli buku di lazada,belanja,pengeluaran
jus alpukat di kantor,minuman,pengeluaran
beli deterjen di indomaret,belanja,pengeluaran
order ayam geprek,makanan,pengeluaran
pesan mie goreng,makanan,pengeluaran
kopi hitam di kafe,minuman,pengeluaran
dapat honor tomoro coffee,gaji,pemasukan
hadih doorprrize kearin,hadiah,pemasukan
dapaat kado dari tman,hadiah,pemasukan
pesan taro milk tea,minuman,pengeluaran
kirim ke honor pembicara mingguaan,tagihan,pengeluaran
air kelapa less sugar,minuman,pengeluaran
jajan ketupat di restoran,makanan,pengeluaran
beli obat tiap bulan,kesehatan,pengeluaran
bayar biznet bulan ini,tagihan,pengeluaran
kosmetik tokopedia,belanja,pengeluaran
belanja di indomaret,belanja,pengeluaran
dapaat kado drai teman,hadiah,pemasukan
uang kos bulanan,tagihan,pengeluaran
sudah terima gaji diterima,gaji,pemasukan
teh botol di warkop,minuman,pengeluaran
beli kapal api,minuman,pengeluaran
masuk fee tokopedia,gaji,pemasukan
tunjangan transport cair,gaji,pemasukan
beli kamera di shopee,belanja,pengeluaran
nonton rame-rame,hiburan,pengeluaran
taman wisata sama keluarga,hiburan,pengeluaran
dapet komisi,gaji,pemasukan
bayar asuransi jiwa bullanan,tagihan,pengeluaran
kirim ke upah pekreja,tagihan,pengeluaran
susu segar pagi,minuman,pengeluaran
bayar bizet tiap bulan,tagihan,pengeluaran
dapat trransferan drai temman,hadiah,pemasukan
terma hadiah lebaan,hadiah,pemasukan
byr komisi makelar,tagihan,pengeluaran
kentang goreng di food court,makanan,pengeluaran
beli minuman yakult,minuman,pengeluaran
beli topi baru,belanja,pengeluaran
makan di dominos,makanan,pengeluaran
bbm motor,transport,pengeluaran
bayar upah karyawan cash,tagihan,pengeluaran
ngopi di esteh indonesia,minuman,pengeluaran
nonton bola abreng keluarga,hiburan,pengeluaran
mie level,makanan,pengeluaran
gajian dari kantor,gaji,pemasukan
dapat komisi dr tokopedia,gaji,pemasukan
jawdal pcr,kesehatan,pengeluaran
transfer honor starbucks,tagihan,pengeluaran
nasi campur di kantor,makanan,pengeluaran
gojek ke terminal,transport,pengeluaran
dapat uang saku lebaran,hadiah,pemasukan
ngopi di kulo,minuman,pengeluaran
beli vitamin d online,kesehatan,pengeluaran
tongseng bareng teman,makanan,pengeluaran
gaji bulan ini cair,gaji,pemasukan
naik bus trans ke bengkel,transport,pengeluaran
naik transjakarta ke bandara,transport,pengeluaran
rjeki dari keluarga,hadiah,pemasukan
minum cold brew,minuman,pengeluaran
isi pertalite mobbil,transport,pengeluaran
sate ayam di mall,makanan,pengeluaran
beli baju baru,belanja,pengeluaran
deterjen tokopedia,belanja,pengeluaran
beli minuman frappuccino,minuman,pengeluaran
makan di mie gacoan,makanan,pengeluaran
cashback gopay dari saudara,hadiah,pemasukan
beli kratingdaeng,minuman,pengeluaran
mkn ramen,makanan,pengeluaran
langganan netfix,hiburan,pengeluaran
beli skincare di bukalapak,belanja,pengeluaran
terima bonus kantor,gaji,pemasukan
gaji bulan ini,gaji,pemasukan
jajan makan siang,makanan,pengeluaran
nescafe,minuman,pengeluaran
headset bukalapak,belanja,pengeluaran
menerima fee freelance,gaji,pemasukan
festival rame-rame,hiburan,pengeluaran
beelanja peralatan rumah,belanja,pengeluaran
kirim bayaran ke shopee,tagihan,pengeluaran
gaji diterima bulan ini,gaji,pemasukan
trima kado dari ortu,hadiah,pemasukan
belanja mingguan di apsar,belanja,pengeluaran
beli paket data xl,tagihan,pengeluaran
cicilan mobil bulan lalu,tagihan,pengeluaran
nonnton bioskop weekend,hiburan,pengeluaran
mouse blibli,belanja,pengeluaran
naik kereta cepat ke kampus,transport,pengeluaran
naik grab tadi,transport,pengeluaran
gaji freelance via transfer,gaji,pemasukan
beli teh botol,minuman,pengeluaran
beri bonus tim,tagihan,pengeluaran
masuk komisi penjualan dari vendor,gaji,pemasukan
transfer komisi agen tunai,tagihan,pengeluaran
jaajn nasi campur di restoran,makanan,pengeluaran
beli buaah,belanja,pengeluaran
biaya bowing,hiburan,pengeluaran
beli tas di tokopedia,belanja,pengeluaran
perpanang prime video,hiburan,pengeluaran
dapat komisi proyek dari vendor,gaji,pemasukan
doorprize tak terduga,hadiah,pemasukan
beli sate ayam,makanan,pengeluaran
cashbback shopee daari saudara,hadiah,pemasukan
beli suplemen tiap bulan,kesehatan,pengeluaran
lontong sayur pagi tadi,makanan,pengeluaran
tiket fetsival sama pacar,hiburan,pengeluaran
es cendol panas,minuman,pengeluaran
bayar tv kabel bulan ini,tagihan,pengeluaran
ngopi teh manis,minuman,pengeluaran
angkot,transport,pengeluaran
masuk gaji ettap,gaji,pemasukan
beeli apotek,kesehatan,pengeluaran
gaji ke rekening bulan ini,gaji,pemasukan
grab motor ke rumah sakit,transport,pengeluaran
blanja pealatan rumah,belanja,pengeluaran
paket data three,tagihan,pengeluaran
warsian tak terduga,hadiah,pemasukan
bbm mobil,transport,pengeluaran
siomay malam ini,makanan,pengeluaran
gaji mingguan bulan ini,gaji,pemasukan
bleanja celana,belanja,pengeluaran
transfer ke kantor bons,tagihan,pengeluaran
tip pelanggan keamrin,hadiah,pemasukan
periksa di puskesmas,kesehatan,pengeluaran
dapat uaang saku lebaran,hadiah,pemasukan
lrt pulang,transport,pengeluaran
bei kapas,kesehatan,pengeluaran
bakso urat pagi tadi,makanan,pengeluaran
teh koak,minuman,pengeluaran
gaji masuk,gaji,pemasukan
agji pokok bulan ini,gaji,pemasukan
beli moouse,belanja,pengeluaran
ke biaya operasi,kesehatan,pengeluaran
bayar kontrakan bulan ini,tagihan,pengeluaran
bayar komisi proyek mitra,tagihan,pengeluaran
tiket karaoke,hiburan,pengeluaran
makan malam,makanan,pengeluaran
argo bromo ke gym,transport,pengeluaran
top up token,hiburan,pengeluaran
fee proyek,gaji,pemasukan
beli makanan sate ayam,makanan,pengeluaran
thr,gaji,pemasukan
beli minuman es campur,minuman,pengeluaran
batik air pulang kampung,transport,pengeluaran
festival,hiburan,pengeluaran
beli paket data telkomsel,tagihan,pengeluaran
hadiah pon dari tante,hadiah,pemasukan
masuk gaji,gaji,pemasukan
subscribe viu,hiburan,pengeluaran
dapat bayaran dari perusahaan,gaji,pemasukan
beli sampo di mall,belanja,pengeluaran
beli kaos di blibli,belanja,pengeluaran
beli deterjen baru,belanja,pengeluaran
komisi penjualan,gaji,pemasukan
wifi,tagihan,pengeluaran
bayar kos bulanan bulan lalu,tagihan,pengeluaran
penghasilan bulan ini,gaji,pemasukan
bayar ke grab bayaran,tagihan,pengeluaran
beli teh kotak,minuman,pengeluaran
pesan ikan bakar,makanan,pengeluaran
teh tarik di cafe,minuman,pengeluaran
ebli masker di guardian,kesehatan,pengeluaran
bayyar biznet bulan ini,tagihan,pengeluaran
kontrak rumah bulan lalu,tagihan,pengeluaran
perpanjang langganan netflix,hiburan,pengeluaran
deterjen,belanja,pengeluaran
citilink ke makasasr,transport,pengeluaran
listrik bulanan,tagihan,pengeluaran
hdiah menang,hadiah,pemasukan
bayar kos bulanan tiap bulan,tagihan,pengeluaran
ngasih gaji staff via transfer,tagihan,pengeluaran
teh hijau,minuman,pengeluaran
masuk komisi,gaji,pemasukan
biaya servis motor,transport,pengeluaran
bayar ke starbuucks honor,tagihan,pengeluaran
naik bus trans pulang,transport,pengeluaran
beli telur di supermarkeet,belanja,pengeluaran
isi paket data,tagihan,pengeluaran
beli beras di pasar,belanja,pengeluaran
transfer ke fee freelancer,tagihan,pengeluaran
shopee,belanja,pengeluaran
beli obat flu,kesehatan,pengeluaran
beli puubg mobile,hiburan,pengeluaran
beli apotik,kesehatan,pengeluaran
bayar insentif ke klien,tagihan,pengeluaran
pesan latte,minuman,pengeluaran
hadiah undain lbearan,hadiah,pemasukan
belanja minggaun di pasar,belanja,pengeluaran
menerima gaji ke rekening,gaji,pemasukan
bayar whoosh,transport,pengeluaran
gaji diterima dari perusahaan,gaji,pemasukan
beli makanan ayam penyet,makanan,pengeluaran
tol,transport,pengeluaran
sewa kamar,tagihan,pengeluaran
token pln bulan lalu,tagihan,pengeluaran
traktiran balik tadi,hadiah,pemasukan
minum es kpi susu,minuman,pengeluaran
biya badminton,hiburan,pengeluaran
kasih bayaran gojek,tagihan,pengeluaran
beli minuman jus mangga,minuman,pengeluaran
thr lebaran,hadiah,pemasukan
belanja indomaret,belanja,pengeluaran
minum baandrek,minuman,pengeluaran
beli ibuprofen di kimia farma,kesehatan,pengeluaran
konsultasi dental,kesehatan,pengeluaran
bayar premi asuransi bulanan,tagihan,pengeluaran
martabak maanis bareng keluarga,makanan,pengeluaran
rejeki lebaran,hadiah,pemasukan
keyboard bukalapak,belanja,pengeluaran
ngisi bensin motor,transport,pengeluaran
bayar fee ke bos,tagihan,pengeluaran
bensin,transport,pengeluaran
jus jeruk,minuman,pengeluaran
diterima tunjjangan transport,gaji,pemasukan
pesan kopi hitam,minuman,pengeluaran
pecel ayam di warteg,makanan,pengeluaran
teh manis di kantor,minuman,pengeluaran
pesan minuman teh hijau,minuman,pengeluaran
teerima hadiah lebaaran,hadiah,pemasukan
trannsfer fee ke atasan,tagihan,pengeluaran
salary ciar,gaji,pemasukan
hadiah lomba dari teman,hadiah,pemasukan
buku,belanja,pengeluaran
pesan minuman jus buah,minuman,pengeluaran
bayar bpjjs ketenagakerjaan,tagihan,pengeluaran
bayar biaya dokter,kesehatan,pengeluaran
ngasih fee vendor mingguan,tagihan,pengeluaran
dikirii uang lebaran,hadiah,pemasukan
hadiah menang,hadiah,pemasukan
paaket data axis,tagihan,pengeluaran
nonton karaaoke,hiburan,pengeluaran
beli nonton,hiburan,pengeluaran
terima komisi proyek klien,gaji,pemasukan
sarapan bareng keluarga,makanan,pengeluaran
kontrakan,tagihan,pengeluaran
tip pelanggan ulang tahun,hadiah,pemasukan
perlatan rumah,belanja,pengeluaran
gocar tadi,transport,pengeluaran
beli charger baru,belanja,pengeluaran
sarapan di warteg,makanan,pengeluaran
traveloka hotel ke baali,hiburan,pengeluaran
pesan makan sate padang,makanan,pengeluaran
bayar fee ke kantor,tagihan,pengeluaran
tiket bus ke sekolah,transport,pengeluaran
makan siang di food court,makanan,pengeluaran
pesan bihun goreng,makanan,pengeluaran
kentang goreng malam ini,makanan,pengeluaran
bayar medical check up,kesehatan,pengeluaran
cek darah,kesehatan,pengeluaran
beli makanan capcay di food court,makanan,pengeluaran
gaji mingguan dari bos,gaji,pemasukan
genshn impact,hiburan,pengeluaran
martabak,makanan,pengeluaran
bayar kontrak rumah,tagihan,pengeluaran
kosmetik blibli,belanja,pengeluaran
kasih komisi shopee,tagihan,pengeluaran
pesan mie gacoan,makanan,pengeluaran
cinemma xxi sama teman,hiburan,pengeluaran
konsultasi biaya dokkter,kesehatan,pengeluaran
mosue bukalapak,belanja,pengeluaran
poin reawwrd,hadiah,pemasukan
dapat insentif grab,gaji,pemasukan
rawat inap,kesehatan,pengeluaran
bajigur,minuman,pengeluaran
thr bulan ini,gaji,pemasukan
beli suplemen,kesehatan,pengeluaran
beli peralatan rumah,belanja,pengeluaran
bayar kpr bulan lalu,tagihan,pengeluaran
naik bus ke bengkel,transport,pengeluaran
bayar kartu kredit,tagihan,pengeluaran
dapat transferan dari otru,hadiah,pemasukan
dpat kado dari teman,hadiah,pemasukan
komisi buln lalu,gaji,pemasukan
garuda ke bali,transport,pengeluaran
terima hadiah ulang tahn,hadiah,pemasukan
rapid etst,kesehatan,pengeluaran
gaji dari bos,gaji,pemasukan
mie goreng bareng keluarga,makanan,pengeluaran
sudah terima honor kerja,gaji,pemasukan
konsultasi konsul doktter,kesehatan,pengeluaran
gojek pagi,transport,pengeluaran
konsul dokter,kesehatan,pengeluaran
pecel lle di food court,makanan,pengeluaran
jajan seafood,makanan,pengeluaran
pesan smotohie,minuman,pengeluaran
bei roblox,hiburan,pengeluaran
bayar asuransi kesehatan bulan lalu,tagihan,pengeluaran
beli minuman bandrek,minuman,pengeluaran
belanja di rnach market,belanja,pengeluaran
beli minuman latte,minuman,pengeluaran
belanja peralatan dapur,belanja,pengeluaran
tiket festival sama pacar,hiburan,pengeluaran
terima komisi penjualan dari atasan,gaji,pemasukan
pesan grab pagi,transport,pengeluaran
biaya renang,hiburan,pengeluaran
nasi campur,makanan,pengeluaran
bayar bpjs,tagihan,pengeluaran
naik grab bike pulang,transport,pengeluaran
dpat gaji kantor,gaji,pemasukan
pemaskan gaji via transsfer,gaji,pemasukan
paket data xl,tagihan,pengeluaran
bakmi bareng teman,makanan,pengeluaran
terima hadiah keamrin,hadiah,pemasukan
langganan vidio bulnan,hiburan,pengeluaran
ibuprofen,kesehatan,pengeluaran
angpao dari ortu,hadiah,pemasukan
roblox bulanan,hiburan,pengeluaran
panjat tebing,hiburan,pengeluaran
grab bike ke rumah sakit,transport,pengeluaran
beli jus jeruk,minuman,pengeluaran
token listrrik bulanan,tagihan,pengeluaran
beli vitamin rutin,kesehatan,pengeluaran
biaya rumah sakit,kesehatan,pengeluaran
bayar maxim car,transport,pengeluaran
tiet nonton film,hiburan,pengeluaran
blue bird tiap hari,transport,pengeluaran
bonus kinerja bulan ini,gaji,pemasukan
transfer bayaran ke atasan,tagihan,pengeluaran
dapat uang saku dari tante,hadiah,pemasukan
bayaran via transfer,gaji,pemasukan
tikket knser,hiburan,pengeluaran
rewrd aplikasi dari teman,hadiah,pemasukan
indihome,tagihan,pengeluaran
dapat lembur,gaji,pemasukan
beli pakaian di lazada,belanja,pengeluaran
masuk fee dari kantor,gaji,pemasukan
jajan ketupat,makanan,pengeluaran
uah harian cair,gaji,pemasukan
beli omega 3 di apotek,kesehatan,pengeluaran
terima honor dari gojek,gaji,pemasukan
langganan viu,hiburan,pengeluaran
terima akdo dari keluarga,hadiah,pemasukan
roti canai,makanan,pengeluaran
angkot ke rumah sakit,transport,pengeluaran
periksa di biaya operasi,kesehatan,pengeluaran
headset tokopdeia,belanja,pengeluaran
beli earphone,belanja,pengeluaran
beli celana di lazada,belanja,pengeluaran
bayar uang kos bulan ini,tagihan,pengeluaran
airasia,transport,pengeluaran
dapet honorarium,gaji,pemasukan
honor bulan lalu,gaji,pemasukan
pesan nasi ayam,makanan,pengeluaran
puskesmas,kesehatan,pengeluaran
bengkel,transport,pengeluaran
bayar myrepublic bulan lalu,tagihan,pengeluaran
langganan iqii,hiburan,pengeluaran
bayar ke bos honor,tagihan,pengeluaran
upah kerja,gaji,pemasukan
belli tongseng,makanan,pengeluaran
jus jeruk di kantor,minuman,pengeluaran
booking hotel,hiburan,pengeluaran
tunjangan jabatan ke rekening,gaji,pemasukan
bajaj pulang,transport,pengeluaran
beli aksesoris hp di ammll,belanja,pengeluaran
belanja hp,belanja,pengeluaran
periksa ke konsul dokter,kesehatan,pengeluaran
tiket lion air,transport,pengeluaran
tip pelanggan,hadiah,pemasukan
fried chicken di kantor,makanan,pengeluaran
insentif penjualan bulan ini,gaji,pemasukan
gaji kaaryawan,gaji,pemasukan
beli viamin d di apotek,kesehatan,pengeluaran
dapet hoonor kerja,gaji,pemasukan
roti canai bareng teman,makanan,pengeluaran
kereta api ke kampus,transport,pengeluaran
byr komisi atasan,tagihan,pengeluaran
kirim ke gji pembantu,tagihan,pengeluaran
beli saayur,belanja,pengeluaran
martabak manis di food court,makanan,pengeluaran
sate padang di warteg,makanan,pengeluaran
rezeki nomplok ulng tahun,hadiah,pemasukan
bli skincare baru,belanja,pengeluaran
beli minuman bajigur,minuman,pengeluaran
bayar akupunktur,kesehatan,pengeluaran
dpat kado dari tman,hadiah,pemasukan
bayar ke shopee insentif,tagihan,pengeluaran
jajaan spaghetti,makanan,pengeluaran
gaji pegawai bulan ini,gaji,pemasukan
ojek online pagi,transport,pengeluaran
bellli charger,belanja,pengeluaran
beli pakaian di indomaret,belanja,pengeluaran
obnus kinerja cair,gaji,pemasukan
trima thr dari oru,hadiah,pemasukan
naik gojek bolak balik,transport,pengeluaran
booking hotel ke bali,hiburan,pengeluaran
meenang giveaway dari keuarga,hadiah,pemasukan
nerima komisi dari klien,gaji,pemasukan
biaya pukesmas,kesehatan,pengeluaran
nerima komisi penjualan dari gojek,gaji,pemasukan
mnang undiaan,hadiah,pemasukan
ngopi di mixue,minuman,pengeluaran
sewa rumah bulanan,tagihan,pengeluaran
hadiah undian ulang tahun,hadiah,pemasukan
gaji mingguan,gaji,pemasukan
hadiah poiin dari tante,hadiah,pemasukan
pdam,tagihan,pengeluaran
bakso urat di food court,makanan,pengeluaran
kemeja blilbi,belanja,pengeluaran
uang saku dari saudara,hadiah,pemasukan
periksa scaling,kesehatan,pengeluaran
pesan mnman es teh manis,minuman,pengeluaran
makeup blibbli,belanja,pengeluaran
kirim ke gaji staff,tagihan,pengeluaran
beli jaket di blibli,belanja,pengeluaran
angkot ke kantor,transport,pengeluaran
batik air ke jakarta,transport,pengeluaran
beli tissue,belanja,pengeluaran
kasih komisi reseller,tagihan,pengeluaran
dapat uang lembur,gaji,pemasukan
ke usg,kesehatan,pengeluaran
terima insentif mitra,gaji,pemasukan
mnman soda,minuman,pengeluaran
dikirimmi uang dari saudara,hadiah,pemasukan
transfer komisi penjualan ke tomoro,tagihan,pengeluaran
gaji freelance dari perusahaan,gaji,pemasukan
beli makup di blibli,belanja,pengeluaran
biaya lab,kesehatan,pengeluaran
beli century di apotik,kesehatan,pengeluaran
buku shopee,belanja,pengeluaran
masuk gaji tetap,gaji,pemasukan
eswa paintball,hiburan,pengeluaran
bpjs ketenagakerjaan tiap bulan,tagihan,pengeluaran
trktiran balk dari ortu,hadiah,pemasukan
dapet gaji ke rekening,gaji,pemasukan
naik grab bike ke rumah sakit,transport,pengeluaran
rgocery di apsar,belanja,pengeluaran
belanja gaint,belanja,pengeluaran
telkomsel,tagihan,pengeluaran
fish n chips di rumah makan,makanan,pengeluaran
menerima tnujangan jabatan,gaji,pemasukan
sewa sepdea,hiburan,pengeluaran
capcay bareng keuarga,makanan,pengeluaran
dpaat kado kemarin,hadiah,pemasukan
booking hoteel ke bandung,hiburan,pengeluaran
order teh tarik,minuman,pengeluaran
hbo go,hiburan,pengeluaran
uang lembur ke rkening,gaji,pemasukan
dapet tunjangan kinerja,gaji,pemasukan
kiriman ortu,hadiah,pemasukan
pesan amkan bakmi,makanan,pengeluaran
udang di rumah mkaan,makanan,pengeluaran
naik lrt pulang,transport,pengeluaran
beli mnman kopi,minuman,pengeluaran
bayar pdam,tagihan,pengeluaran
kirim komisi proyek ke perusahaan,tagihan,pengeluaran
dapet pneghasian bulanan,gaji,pemasukan
vitamin c tiap blan,kesehatan,pengeluaran
biaaya panjat tebing,hiburan,pengeluaran
pesan es campur,minuman,pengeluaran
belanja di carrefour,belanja,pengeluaran
bayar reosrt,hiburan,pengeluaran
transfer insentif ke agn,tagihan,pengeluaran
order iakn bakar siang tadi,makanan,pengeluaran
es campur kenangan signature,minuman,pengeluaran
terima hadiah ulang tahun,hadiah,pemasukan
gaji pokok sudah cair,gaji,pemasukan
order opor ayam,makanan,pengeluaran
ayam geprek di kantor,makanan,pengeluaran
blei sampo,belanja,pengeluaran
cgv,hiburan,pengeluaran
bayar token pln tiap bulan,tagihan,pengeluaran
order soda,minuman,pengeluaran
pasar tradisional,belanja,pengeluaran
beli pubg mobile,hiburan,pengeluaran
blanja peralatan rumah,belanja,pengeluaran
upah harian ke rekening,gaji,pemasukan
dapat gaji bulanan,gaji,pemasukan
bayar komisi penjualan ke kantor,tagihan,pengeluaran
belanjja deterjen,belanja,pengeluaran
bayar fisioterapi,kesehatan,pengeluaran
beli peralatan rumah di indomaret,belanja,pengeluaran
juara lmoba tak terduga,hadiah,pemasukan
beli top up gopay games,hiburan,pengeluaran
beli alkohol online,kesehatan,pengeluaran
langganan gym,hiburan,pengeluaran
blue bird bolak balik,transport,pengeluaran
dapat insentif dari tokopedia,gaji,pemasukan
kereta api malam,transport,pengeluaran
transfer honor gojek,tagihan,pengeluaran
bayar asuransi kesehatan buln lalu,tagihan,pengeluaran
dapat tip dri keluarga,hadiah,pemasukan
uang magang ke rekening,gaji,pemasukan
nonton bioskop weekend,hiburan,pengeluaran
shopee food,makanan,pengeluaran
beli apotek di apotk,kesehatan,pengeluaran
oat milk latte dingin,minuman,pengeluaran
isi solar,transport,pengeluaran
bayar gaji staff cash,tagihan,pengeluaran
kulo,minuman,pengeluaran
beli di chatime,minuman,pengeluaran
hadiah giiveaway kemarin,hadiah,pemasukan
ke klinik,kesehatan,pengeluaran
burger,makanan,pengeluaran
terima komisi penjualan starbucks,gaji,pemasukan
beli ikan di supermarkket,belanja,pengeluaran
upah bulanan bulan lalu,gaji,pemasukan
dapat duit kemarin,hadiah,pemasukan
minum teh manis,minuman,pengeluaran
beli di kedai kopi,makanan,pengeluaran
bayar cicilan,tagihan,pengeluaran
naik kereta cepat ke gym,transport,pengeluaran
makan sederhana,makanan,pengeluaran
dapat insentif starbucks,gaji,pemasukan
order kopi,minuman,pengeluaran
jajan soto ayam,makanan,pengeluaran
upah bulanan bulan llu,gaji,pemasukan
gaji freelance bulan lalu,gaji,pemasukan
sushi di kantor,makanan,pengeluaran
latte,minuman,pengeluaran
dikasih duit dr keluarga,hadiah,pemasukan
beli mainan di supermarket,belanja,pengeluaran
dapat doorprize dr om,hadiah,pemasukan
makan nasi campur,makanan,pengeluaran
kentang goreng di mall,makanan,pengeluaran
nerima gai harian,gaji,pemasukan
makan di es teler 77,makanan,pengeluaran
isi pulsa,tagihan,pengeluaran
minuman energi sorre tadi,minuman,pengeluaran
tamaan wisata ke jgoja,hiburan,pengeluaran
belanja famiily mart,belanja,pengeluaran
oat batuk tiap bulan,kesehatan,pengeluaran
order susu,minuman,pengeluaran
kado uaang dr teman,hadiah,pemasukan
masuk fee dri tomoro,gaji,pemasukan
pulsa xl,tagihan,pengeluaran
beli minuman thai milk tea,minuman,pengeluaran
upah dari klien,gaji,pemasukan
mennng undian daari om,hadiah,pemasukan
kopi dingin,minuman,pengeluaran
biznet,tagihan,pengeluaran
klinik,kesehatan,pengeluaran
masuk aslary,gaji,pemasukan
beli resep langganan,kesehatan,pengeluaran
belli tiket xxi,hiburan,pengeluaran
naik busway ke terminal,transport,pengeluaran
paket data tellkomsel,tagihan,pengeluaran
frist media tiap bulan,tagihan,pengeluaran
nasi uduuk,makanan,pengeluaran
thr dari klien,gaji,pemasukan
tiket pertandingan rame-rame,hiburan,pengeluaran
rezeki nomplok dari atnte,hadiah,pemasukan
spooring,transport,pengeluaran
prealatan rmah bukalapak,belanja,pengeluaran
gocar ke mall,transport,pengeluaran
beli pket internnet,tagihan,pengeluaran
gaji via transfer dr proyek,gaji,pemasukan
superindo,belanja,pengeluaran
langagnan bowling,hiburan,pengeluaran
bajaj ke rumah sakit,transport,pengeluaran
cinemaxx bareng keluarga,hiburan,pengeluaran
beli topi,belanja,pengeluaran
tagihan inetrnet,tagihan,pengeluaran
beli kaos di tokopedia,belanja,pengeluaran
iuran sampah tiap ublan,tagihan,pengeluaran
bayar langgannan internet,tagihan,pengeluaran
bayar asuransi jiwa bulanan,tagihan,pengeluaran
beli alat mkan,belanja,pengeluaran
lemon tea take away,minuman,pengeluaran
beli buah di pasar,belanja,pengeluaran
ramen di food court,makanan,pengeluaran
membayar honor pembicara,tagihan,pengeluaran
vitain d langganan,kesehatan,pengeluaran
bayar komisi sales bulanan,tagihan,pengeluaran
naik blue bird ke kampus,transport,pengeluaran
bihun,makanan,pengeluaran
steak di warteg,makanan,pengeluaran
beri gaji pegawai,tagihan,pengeluaran
beli minuman jus alpukat,minuman,pengeluaran
dapat tip dari keluarga,hadiah,pemasukan
hadiah dr keluarga,hadiah,pemasukan
